"ID_reference","cosine_sim","ID_variant","prevalence_reference"
167,0.670262323185986,"139",0.00458200147135455
168,0.861280856109837,"39",0.00501385837966991
169,0.620146373448902,"192",0.00354079959270802
170,0.682267447354313,"42",0.00366919919887186
171,0.548858635567589,"25",0.0036784586588811
172,0.786253166639158,"181",0.00423580463876792
173,0.574578231000027,"84",0.00290683739952049
174,0.631213436334093,"95",0.00553664937272316
175,0.600489555322308,"78",0.00323458219038676
176,0.415968029644099,"18",0.00293272443890414
177,0.609972848190397,"166",0.00430709918145503
178,0.499229527109584,"85",0.00318560301369595
179,0.620673388646666,"154",0.00367132096353662
180,0.48197240640348,"182",0.00447006429137007
181,0.469881414960518,"132",0.00462520295483346
182,0.65024085838367,"40",0.00245187861104348
183,0.843761646903837,"92",0.00454959084478194
184,0.672294621862244,"5",0.00436251017730559
185,0.857292044128214,"40",0.0050095106849187
186,0.687878051652231,"164",0.00482284359127335
187,0.83314275706924,"8",0.00376266509928304
188,0.517684958381035,"71",0.00428795917413797
189,0.57479310604715,"64",0.00262180135301846
190,0.691179832817228,"26",0.00320245927618261
191,0.477037089472491,"5",0.00240372390679198
192,0.768735065305637,"181",0.00437117457163611
193,0.711390308562701,"139",0.00387403131573995
194,0.809682633489785,"74",0.00486667616672688
195,0.522016372941342,"32",0.00354444032495055
196,0.630448548018354,"104",0.00318188932025905
197,0.749402856714627,"113",0.00418804725466297
198,0.572551463811885,"9",0.00481149305080236
199,0.625464981822979,"191",0.00394468115102308
200,0.710932840942599,"113",0.00371851730238556
201,0.880357385588845,"164",0.00342567634394531
202,0.80679981367922,"153",0.00547367622476784
203,0.576217872628321,"93",0.00308033322635501
204,0.640376189060249,"139",0.00379263101335689
205,0.72467408930118,"54",0.00517893305652229
206,0.43305574731524,"52",0.00394800873088509
207,0.548304342866885,"120",0.00330474988220081
208,0.491534483432592,"112",0.00346670743478934
209,0.592820689576094,"36",0.00267613802050659
210,0.834173458880631,"126",0.00285375676082717
211,0.642609160842521,"164",0.00414313627395526
212,0.618263830940969,"137",0.00313400138807687
213,0.470447522940013,"91",0.00440789003394074
214,0.634981159337195,"177",0.00965056704685322
215,0.521523288385771,"84",0.0029272865569071
216,0.462027178326106,"86",0.00438401843337042
217,0.690128180817033,"50",0.00409799847803467
218,0.657169126337497,"196",0.0042884261407635
219,0.749225252266353,"158",0.00599146982325228
220,0.518379953080295,"60",0.00352893661962234
221,0.454245602518504,"199",0.00319149402939143
222,0.599820680323713,"13",0.00427878476774613
223,0.736978360455995,"186",0.00396442068764964
224,0.769320526749118,"147",0.00446601097179984
225,0.608974026555943,"48",0.0035584904701839
226,0.602109675638848,"105",0.00246040693623008
227,0.506685443500102,"25",0.00239705973705761
228,0.489082252550199,"34",0.0026951996272688
229,0.690197570393647,"112",0.00595468387149089
230,0.768806646262216,"126",0.00352641555289683
231,0.689672235369372,"158",0.0039430487211168
232,0.555714716797834,"184",0.00561315274694525
233,0.742330753065415,"145",0.00381460949723448
234,0.534649924227897,"47",0.00330060931367044
235,0.517148484434397,"177",0.00533904709509236
236,0.684975873818881,"65",0.00693428127977434
237,0.786656570421567,"127",0.00373474976768343
238,0.475791373204979,"130",0.00357519862525115
239,0.442083302115512,"45",0.00292827086133038
240,0.880361881880061,"101",0.012352742651901
241,0.748561197933161,"182",0.0100685789032274
242,0.784086095381837,"162",0.00301460830102161
243,0.406468052406076,"26",0.00404050409218986
244,0.712940122653189,"137",0.00309965807015543
245,0.571373714273672,"127",0.00352285243038239
246,0.748447365237799,"148",0.00430288548681567
247,0.664874673245552,"101",0.00423075598057429
248,0.597901180682413,"200",0.00306067285519134
249,0.611221972024656,"191",0.00304335276241269
250,0.499359149628405,"106",0.0029161752668761
