"ID_reference","cosine_sim","ID_variant","prevalence_reference"
1,0.64093149533613,"85",0.00416189094107277
2,0.514320135710969,"90",0.00617939717984745
3,0.732473832058204,"147",0.00427891991609815
4,0.603998425845263,"170",0.00421210547275142
5,0.486728754399599,"163",0.00328438782835617
6,0.527938795656096,"12",0.00287972149867657
7,0.394000670988418,"48",0.00286205695785055
8,0.585637864989726,"200",0.00292629407989911
9,0.513962238709134,"4",0.00337090018913875
10,0.557689631323017,"93",0.00408688236730895
11,0.871761688992257,"105",0.00345073365490959
12,0.53310825924934,"200",0.00362879166034714
13,0.48561482061028,"121",0.00285976338156748
14,0.44567130093649,"102",0.00278543510141248
15,0.536854154201967,"41",0.0032662785946476
16,0.723039227176479,"79",0.00293868215706166
17,0.408761606411595,"109",0.00275897387431589
18,0.557975596340405,"99",0.0029963670174618
19,0.510898210253011,"191",0.00385885609722337
20,0.729448126943975,"131",0.00314775204680199
21,0.570820472571066,"195",0.00448510730552314
22,0.503945255178268,"85",0.00360292120137966
23,0.554060357543115,"10",0.00410092255297085
24,0.600502152791709,"191",0.00417929116959155
25,0.767513634172363,"26",0.00238308111751414
26,0.677901302978645,"40",0.00456438666046424
27,0.51236092714705,"182",0.00389965651712745
28,0.560166532277735,"188",0.00279727228728362
29,0.570002232102832,"27",0.00379505270570916
30,0.673662683792055,"148",0.00519094783848615
31,0.379851238554796,"29",0.00278319086256335
32,0.650225440625137,"174",0.00278171800570947
33,0.78525229989096,"137",0.00409316061917151
34,0.387525591945757,"32",0.00279127745737982
35,0.565669311148577,"155",0.00241548529226743
36,0.605305953422702,"158",0.00355636319363789
37,0.806560095411358,"113",0.00534280227894542
38,0.72938296604383,"155",0.00735037244113057
39,0.399278372008141,"86",0.00362856404835091
40,0.861735347442979,"141",0.00309814488034172
41,0.522893553504108,"45",0.00261245289903402
42,0.76525488762421,"130",0.00320742558580527
43,0.567435047184922,"95",0.00384902928020311
44,0.608426699332042,"13",0.00345171208042701
45,0.629627700343992,"79",0.00260685196523998
46,0.597482778944944,"41",0.00398527879002296
47,0.600091587618634,"137",0.00443707284587864
48,0.541543827770532,"192",0.00334778677558806
49,0.662788496190066,"74",0.00417084348551092
50,0.530342930912427,"99",0.0032535776005269
